                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 1.5375,                 1.1215,                 1.2267,                0.86005,                0.91796,                0.91602,                0.53812,                 1.4231,                0.90721,                 1.1787,              0.0011224,              0.0011224,              0.0011224
                    135,                 1.5455,                 1.0465,                 1.2128,                0.97573,                0.78534,                0.91602,                0.62289,                 1.2793,                0.93463,                 1.1188,              0.0011183,              0.0011183,              0.0011183
                    136,                 1.5936,                 1.0889,                 1.2472,                0.78957,                0.85714,                0.85686,                0.63038,                 1.1634,                  1.012,                 1.0902,              0.0011141,              0.0011141,              0.0011141
                    137,                 1.4924,                 1.0339,                 1.2238,                0.89869,                0.90985,                  0.899,                0.56873,                  1.224,                 1.0207,                 1.0978,                0.00111,                0.00111,                0.00111
                    138,                 1.5214,                 1.0943,                 1.2607,                0.87465,                0.92173,                 0.8745,                0.51402,                 1.3825,                 1.0345,                 1.1626,              0.0011059,              0.0011059,              0.0011059
                    139,                 1.5564,                 1.0501,                 1.2889,                0.88635,                0.92857,                0.91125,                 0.5673,                 1.3989,                0.94525,                 1.1643,              0.0011018,              0.0011018,              0.0011018
                    140,                 1.4859,                0.98066,                 1.2189,                0.87164,                0.93663,                  0.945,                 0.5607,                 1.4908,                0.89447,                 1.2188,              0.0010976,              0.0010976,              0.0010976
                    141,                 1.5396,                 1.0291,                 1.2064,                0.86407,                0.93718,                   0.97,                0.58893,                 1.4769,                0.86906,                 1.2119,              0.0010935,              0.0010935,              0.0010935
                    142,                 1.5423,                 1.0586,                  1.271,                0.84292,                0.92857,                0.98625,                0.57959,                 1.5321,                0.96882,                 1.2156,              0.0010894,              0.0010894,              0.0010894
                    143,                 1.4274,                 1.0278,                 1.2038,                0.75917,                0.85714,                0.86414,                0.57497,                 1.3544,                0.95201,                 1.1479,              0.0010853,              0.0010853,              0.0010853
                    144,                 1.4888,                 1.0406,                 1.2199,                 0.7867,                0.84494,                0.84596,                0.60476,                 1.1859,                0.95198,                 1.1059,              0.0010811,              0.0010811,              0.0010811
                    145,                 1.5011,                 1.0627,                 1.1976,                0.84766,                0.85714,                0.91944,                0.55296,                 1.3025,                0.94391,                 1.1404,               0.001077,               0.001077,               0.001077
                    146,                 1.5123,                0.96175,                 1.1818,                0.80511,                0.85714,                 0.9025,                0.50411,                 1.5967,                 1.0459,                 1.2325,              0.0010729,              0.0010729,              0.0010729
